target,alpha,beta
0,-207.12256,-88.67069
1,490.14675,198.16039
1,377.4757,-88.39946
1,404.06375,-302.56337
0,-208.33847,-144.69105
0,-204.72482,-134.27339
0,-107.32523,29.89943
0,-228.60682,-151.17215
1,489.58314,22.14905
0,-294.56386,103.5273
1,339.99548,14.25909
1,481.65058,-169.77991
0,-240.8485,-170.28688
1,583.55764,33.74802
0,111.45412,184.46129
0,-208.73593,33.06919
0,-130.72246,213.88433
0,-327.6146,-76.63891
1,653.86197,57.34888
0,-198.7575,472.09874
0,-186.10568,0.83072
0,-105.22341,46.79474
0,-264.4682,70.32715
0,-234.86197,-91.70885
0,-251.46845,-130.36939
0,-116.7636,426.69253
1,556.99484,16.70669
0,-341.16899,-45.15309
0,13.50202,170.53566
0,-146.12328,-103.28107
1,187.85168,-264.08949
0,-182.64097,23.24623
0,127.18363,78.00289
1,501.46522,-76.31799
0,-191.7628,-165.34762
1,621.56449,124.5638
0,-166.167,224.00788
0,-96.46425,301.02214
0,-222.79895,-258.05714
0,-213.29538,-226.34007
0,-150.3803,-106.22896
0,-236.63116,-89.53198
0,30.16183,379.83345
0,84.90391,395.84806
1,207.93776,-148.83286
1,431.50681,-211.04959
0,-160.15728,44.59991
0,-140.89811,-141.70871
0,-176.40155,-216.37769
0,-151.30838,40.86454
0,-149.36525,303.20202
1,655.40973,-15.97556
1,545.04145,80.43391
0,-98.74181,-36.07228
1,511.20436,-80.52158
0,-137.31231,40.15231
1,452.44826,-73.30737
0,-82.49801,272.92614
1,477.95642,66.59299
0,-93.18807,143.70539
0,-234.80285,197.88333
0,-169.01381,131.47479
1,427.82207,-79.36819
0,-244.19919,95.77332
0,-207.54035,73.49396
0,-249.41041,-119.81523
0,-73.20268,-20.14699
0,-285.04611,8.75078
0,-240.34097,-226.80933
0,-278.9208,197.30077
1,660.38218,126.01022
0,-122.99067,443.14978
1,225.59136,124.3172
0,-183.38674,-345.25289
1,543.11224,-133.35767
1,668.58445,63.66184
0,-198.37263,136.82603
1,565.13479,244.23979
0,-226.14869,-299.73486
0,-196.2866,-17.46486
0,-229.26548,-71.99624
0,-222.07019,-155.65895
0,-188.09927,-0.66782
1,383.44434,-126.31474
0,-256.94627,-132.4346
0,69.93145,16.19977
1,432.23693,-128.88667
0,-153.40731,339.92235
0,-127.91247,-116.55016
0,-221.97726,299.84283
0,-249.66871,133.11318
0,-285.85708,-330.4449
0,-87.15815,-78.29643
0,-246.55659,-175.71904
0,-344.24587,143.87664
0,-139.21584,-167.1518
1,627.7492,81.80878
0,167.1211,219.47065
0,-292.59983,-204.45856
1,548.88631,17.74378
1,318.55653,-69.73833
1,596.55064,160.46878
1,667.5964,-72.31385
0,-243.47449,-240.53188
0,-238.32111,-204.10823
0,-87.31752,39.41299
1,457.98222,91.50142
0,-125.64107,-60.14197
0,-242.83299,-95.30385
1,472.36577,161.54492
0,-83.21186,-62.50435
0,-216.4913,-78.25136
0,-311.95332,-243.92495
0,-166.70654,56.63493
0,-227.96322,-345.95003
0,16.34781,356.17995
0,-110.46954,-153.929
0,-233.19074,-83.11672
0,-219.54621,160.34418
0,-44.8331,338.90822
0,-129.52093,6.51488
0,-314.70446,-25.23537
1,466.20238,-95.37657
1,395.97221,-140.99811
0,-315.11592,-373.27836
0,-213.0543,-186.14062
0,-274.5471,-88.18606
0,-222.29334,-53.4949
0,-267.88026,-222.17333
0,-243.37586,-78.76996
1,445.3472,157.71049
0,-217.08032,-107.98988
0,-87.31076,-124.3598
0,-292.2662,-135.76158
0,-215.49753,182.67594
1,579.17758,35.21367
0,-274.99299,256.16787
0,45.92829,-153.29895
1,466.04108,47.74009
0,-270.98388,94.4843
0,-184.97541,-162.91005
0,-161.82615,-0.98943
0,-5.72109,30.15391
1,556.29515,-41.84514
0,-196.40809,-197.73793
0,39.44077,112.87235
1,502.84741,-27.69229
1,501.46522,-76.31799
0,125.32846,180.54965
1,496.15108,-176.10996
0,-254.28975,-217.30681
0,84.05059,159.07002
1,452.42162,251.33211
0,-321.0097,-222.23052
1,691.45007,118.05844
1,306.26062,-36.02067
0,-191.06406,228.48237
0,-87.1291,336.40211
0,-160.39845,305.76871
0,111.45412,184.46129
1,459.46907,-176.7859
0,-292.53862,-252.96465
0,-147.95959,-142.95816
0,-251.23586,46.96794
1,234.35572,13.28034
0,-33.46007,-9.65201
1,511.20744,-49.3788
1,469.05916,-172.09796
0,-199.22976,-216.6794
0,-58.39497,-33.54601
0,83.88215,66.65013
1,437.90023,162.72195
1,179.59897,-42.67148
0,-245.27609,-88.71796
0,-257.45125,-109.73861
0,-64.71753,143.55948
0,-270.52257,-247.88671
1,363.09033,-159.99924
0,-322.47353,-90.61889
1,379.649,119.29387
0,-179.89482,-34.91524
0,-227.86256,-87.86715
0,111.45412,184.46129
0,-213.21831,-131.51064
0,-86.38697,437.77325
0,-265.87724,-111.52034
0,-227.1433,-146.43584
0,-201.43348,-22.95931
0,-265.03717,-152.33705
0,-104.29693,-82.75341
0,-162.94162,38.2819
0,94.2474,-105.64182
0,-139.6688,-148.652
1,500.27357,-106.33308
1,103.94908,-346.18817
0,-235.62219,27.49229
1,583.47874,20.00139
0,-254.00426,-45.44461
0,-174.82034,-85.45183
1,665.46779,142.36384
0,144.75191,22.94086
0,-230.65821,-240.64065
1,396.99474,-200.06898
0,-56.84163,-115.92161
0,-150.21828,481.60881
1,497.19517,112.52947
1,498.0579,-149.97054
0,-312.5919,-204.17604
0,-296.70124,-95.6762
0,-89.67857,-79.32476
1,629.55634,79.85179
0,-54.99178,349.92947
0,-143.69614,266.03761
1,449.40973,-266.90398
0,-79.374,175.50991
1,378.01778,-236.32439
1,756.54785,101.71617
1,403.13004,-29.00882
0,-258.99993,74.81346
0,-164.71063,-129.83763
0,-184.77525,-142.40816
0,-149.92471,-42.74726
1,517.40478,-34.82968
0,-203.7403,-98.45176
1,657.94047,104.94839
0,-352.61972,-114.16128
0,-143.45953,-113.5848
0,95.20934,-142.10302
0,-163.25924,156.75057
0,-180.1871,265.99802
0,-306.79794,-143.02082
1,598.17078,4.4667
0,-291.25981,-12.98693
1,557.9665,6.89045
1,541.58976,68.97254
0,-243.42979,20.91637
1,444.69924,204.74474
0,-164.57844,187.59978
0,-286.68258,96.27069
0,-298.64575,-1.25553
0,-171.07925,249.67636
0,-221.80594,192.65535
0,-116.54608,-5.3179
0,-90.16786,-75.89083
0,-21.52933,-11.82722
0,13.50202,170.53566
1,511.43494,134.83692
0,-279.62795,205.26362
1,266.29872,-219.30311
0,-241.12036,-86.4676
1,537.84475,-24.5901
0,-95.49204,196.79912
0,-111.30215,210.57501
0,68.53857,-65.79827
0,-181.16018,-163.23217
0,-68.79294,14.52282
1,655.60985,76.99082
0,-250.88906,-253.05074
0,-173.97639,-49.50388
0,-273.64238,106.32605
0,-9.57541,-197.25154
0,-178.43238,-58.97756
1,529.89614,-101.20562
0,-177.38705,-133.5727
1,437.48077,255.83871
0,-292.02654,-122.9178
0,-231.22917,271.96628
